user_id,visit_id,date,transactions,revenue,source,source_type
6398718864839297879,1491539642,20170406,1,21.47,(direct),Direct
9359260991266226539,1491509387,20170406,1,58.75,(direct),Direct
3499601290584440755,1491525930,20170406,2,31.35,(direct),Direct
0438166916528767491,1490725309,20170328,1,71.9,(direct),Direct
4449823229608218315,1490736793,20170328,1,14.38,(direct),Direct
7813149961404844386,1490717463,20170328,1,39.99,(direct),Direct
7813149961404844386,1490713974,20170328,1,39.99,(direct),Direct
5918969428390529322,1490717074,20170328,1,24.99,(direct),Direct
4984366501121503466,1490715849,20170328,1,294.6,(direct),Direct
7503558141544554377,1490739624,20170328,1,5.97,(direct),Direct
6430761922443082063,1490724248,20170328,1,138.35,(direct),Direct
9665573489181105578,1490744123,20170328,1,9.92,(direct),Direct
6197521000092572959,1490725352,20170328,1,174.65,(direct),Direct
6668081558564900297,1490727198,20170328,1,954.15,(direct),Direct
4759981878863963838,1490729055,20170328,1,3026.1,(direct),Direct
0045204488424585972,1491591083,20170407,1,59.97,(direct),Direct
8101107214208089371,1491593538,20170407,1,109.98,(direct),Direct
8495435396140444674,1491591821,20170407,1,24.62,(direct),Direct
9106626115494639878,1491602985,20170407,1,52.07,(direct),Direct
5263059809967138936,1491587620,20170407,1,258.52,(direct),Direct
1945460168303919891,1479165085,20161114,1,25.0,(direct),Direct
0210005071508705826,1479146483,20161114,1,79.98,(direct),Direct
4808974885561715322,1479137563,20161114,1,74.7,(direct),Direct
6773163572466277381,1479182328,20161114,1,24.99,(direct),Direct
8270496199036468990,1479177270,20161114,1,23.98,(direct),Direct
7288884165054757545,1479144911,20161114,1,183.98,(direct),Direct
0652777252868843895,1479162450,20161114,1,756.45,(direct),Direct
6147396474895233852,1479137433,20161114,1,812.36,(direct),Direct
3681004164006425285,1479192532,20161114,1,30.88,(direct),Direct
0790076231044119145,1472503146,20160829,1,69.01,(direct),Direct
1707670844479658461,1472489070,20160829,1,131.28,(direct),Direct
9937197778376136258,1472492418,20160829,1,24.97,(direct),Direct
0783281135159334087,1472515574,20160829,1,43.45,(direct),Direct
4055437795713459104,1472489678,20160829,1,52.06,(direct),Direct
3207713058277296455,1472532051,20160829,1,2.53,(direct),Direct
4577377706293036618,1499971967,20170713,1,18.99,(direct),Direct
6125563692107396483,1499995677,20170713,1,7.6,(direct),Direct
8010758488625619131,1499928366,20170713,1,13.29,(direct),Direct
1470956649294061383,1499976775,20170713,1,28.0,(direct),Direct
644407009401848542,1499970562,20170713,1,56.96,(direct),Direct
7183166419038940327,1499974578,20170713,1,245.31,(direct),Direct
0507664246019057034,1499986350,20170713,1,24.99,(direct),Direct
5980795059692822710,1499979470,20170713,1,13.5,(direct),Direct
9417857471295131045,1499951313,20170713,2,2548.5,(direct),Direct
3955976140316873313,1478108326,20161102,1,39.76,(direct),Direct
5845571367223986195,1478105553,20161102,1,12.99,(direct),Direct
219877622979658253,1478097393,20161102,1,41.46,(direct),Direct
7463172420271311409,1478117894,20161102,1,1126.06,(direct),Direct
8923647985251251100,1478100656,20161102,1,19.99,(direct),Direct
2141731581139824096,1478132782,20161102,1,628.8,(direct),Direct
7949599289543078043,1478142008,20161102,1,35.18,(direct),Direct
0422682096572302497,1475180496,20160929,1,50.38,(direct),Direct
647053720847399351,1475145866,20160929,1,81.42,(direct),Direct
9624789523147347433,1490392389,20170324,1,39.98,(direct),Direct
4670469315542047941,1490380920,20170324,1,167.7,(direct),Direct
491427743200379908,1494214934,20170507,1,167.95,(direct),Direct
2386169796638986389,1494212913,20170507,1,201.54,(direct),Direct
7718460789580849626,1473437571,20160909,1,25.01,(direct),Direct
9347594099928593114,1473443755,20160909,1,64.8,(direct),Direct
0097216552247524030,1473441570,20160909,1,26.48,(direct),Direct
8542904760257700339,1473431331,20160909,1,2.16,(direct),Direct
3915384889161784454,1473451009,20160909,1,150.75,(direct),Direct
9415047435363681557,1473454376,20160909,1,350.7,(direct),Direct
3296839339658161126,1473446712,20160909,1,684.47,(direct),Direct
5179406468603236023,1473404450,20160909,1,109.26,(direct),Direct
6386115578941374832,1477688988,20161028,1,45.54,(direct),Direct
8897693184289698556,1477689675,20161028,2,414.96,(direct),Direct
2324401088526343469,1477708444,20161028,1,319.75,(direct),Direct
7117790713019441087,1477683990,20161028,2,639.9,(direct),Direct
8565474882130184766,1477693212,20161028,1,19.99,(direct),Direct
1814166460229302850,1477703873,20161028,1,1025.95,(direct),Direct
3444642706013409818,1477705714,20161028,1,813.14,(direct),Direct
6056987916550791423,1489442777,20170313,1,7.0,(direct),Direct
1463636140819732503,1489454292,20170313,1,15.99,(direct),Direct
3259618435947707207,1489446074,20170313,1,14.97,(direct),Direct
7229994429253580812,1489431679,20170313,1,18.99,(direct),Direct
2402527199731150932,1489455011,20170313,1,254.9,(direct),Direct
5590743844926892757,1489417235,20170313,1,380.38,(direct),Direct
822220356335302003,1489435322,20170313,1,57.44,(direct),Direct
2419083783587438310,1489468539,20170313,1,284.35,(direct),Direct
8051330666155148777,1489465259,20170313,1,898.3,(direct),Direct
8889391457640720040,1492858313,20170422,1,41.97,(direct),Direct
1614193653421769557,1492905732,20170422,1,56.91,(direct),Direct
6752202398178305977,1471464788,20160817,1,1250.33,(direct),Direct
903345240789563636,1471471009,20160817,1,1.84,(direct),Direct
8880653820119720366,1471457645,20160817,1,51.14,(direct),Direct
6492524762666859925,1471470275,20160817,1,1.47,(direct),Direct
2099827776599547321,1471477297,20160817,1,98.48,(direct),Direct
1896035155990573311,1471468881,20160817,1,276.84,(direct),Direct
3640757653310999874,1471440994,20160817,1,244.14,(direct),Direct
1743601806406480727,1471450004,20160817,1,366.95,(direct),Direct
3724383329494779540,1500822297,20170723,1,5.97,(direct),Direct
0546450430035162938,1500871732,20170723,1,20.99,(direct),Direct
0572135527461851083,1500795508,20170723,1,18.99,(direct),Direct
0956108016718766611,1500857712,20170723,1,2.99,(direct),Direct
750035303636009615,1498149168,20170622,1,80.44,(direct),Direct
1036507769669388704,1498147869,20170622,1,94.87,(direct),Direct
